@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
111,1,332,avevaios
26,1,56,avevaios
58,1,529,avevaios
40,2,645,avevaios
11,1,103,poly-kalos
91,2,422,poly-kalos
9,1,19,avevaios
71,2,45,avevaios
91,2,401,palia-eykairia
26,1,67,avevaios
57,1,63,avevaios
2,1,221,avevaios
72,1,336,pistos
14,1,194,adiaforos
0,1,387,avevaios
15,1,139,avevaios
2,1,567,pistos
18,2,307,avevaios
85,1,584,avevaios
2,1,101,palia-eykairia
23,2,403,adiaforos
60,1,76,avevaios
99,1,168,avevaios
34,2,534,avevaios
7,1,271,avevaios
2,2,554,avevaios
10,2,254,avevaios
4,1,126,proin-kalos
99,2,336,avevaios
95,1,592,avevaios
19,1,71,efkairia
74,1,105,avevaios
2,1,179,avevaios
47,1,4,avevaios
1,1,85,avevaios
20,1,160,avevaios
67,1,386,avevaios
53,2,298,avevaios
82,1,84,proin-kalos
96,1,274,efkairia
12,1,92,avevaios
106,1,697,avevaios
47,1,248,pistos
102,1,34,avevaios
23,2,141,avevaios
26,2,497,avevaios
1,1,74,avevaios
11,1,118,avevaios
7,1,85,avevaios
89,1,706,avevaios
86,1,134,avevaios
103,1,42,avevaios
82,2,8,avevaios
53,1,164,poly-kalos
34,1,92,avevaios
32,1,403,proin-pistos
0,2,282,avevaios
104,2,126,avevaios
18,1,512,avevaios
97,2,387,adiaforos
1,1,285,avevaios
26,1,192,avevaios
71,1,601,efkairia
67,1,235,avevaios
60,1,303,avevaios
99,1,416,avevaios
32,1,467,avevaios
69,1,412,avevaios
1,1,199,avevaios
16,1,468,proin-kalos
4,1,63,avevaios
76,1,105,proin-kalos
76,2,706,avevaios
46,1,269,avevaios
19,1,0,palia-eykairia
65,1,122,poly-kalos
53,1,143,avevaios
29,2,24,pistos
7,1,61,avevaios
27,1,218,avevaios
7,1,50,avevaios
70,1,107,avevaios
10,1,105,avevaios
0,1,227,pistos
10,1,147,avevaios
57,1,248,efkairia
8,1,202,avevaios
0,2,25,poly-kalos
20,1,92,avevaios
9,1,35,avevaios
2,2,148,proin-pistos
18,1,109,proin-kalos
